2021-01-29 18:10:57.971 INFO  [main] com.ws.ldy.XjTestServer - Starting XjTestServer on wangsong with PID 14172 (F:\workspace\code\git2020-12\spring-boot-plus2\xj-server\xj-test-server\target\classes started by ws in F:\workspace\code\git2020-12\spring-boot-plus2)
2021-01-29 18:10:57.983 INFO  [main] com.ws.ldy.XjTestServer - The following profiles are active: test
2021-01-29 18:11:00.846 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ws.ldy, com.ws.ldy.modules.third.websocket.config]' package. Please check your configuration.
2021-01-29 18:11:01.111 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.baomidou.cloud.service.*.mapper*]' package. Please check your configuration.
2021-01-29 18:11:01.145 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAstoryCategoryMapper' and 'com.ws.ldy.modules.yw.astory.mapper.XjAstoryCategoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.145 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAstoryMapper' and 'com.ws.ldy.modules.yw.astory.mapper.XjAstoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.146 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cpCategoryMapper' and 'com.ws.ldy.modules.yw.caipu.mapper.CpCategoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.146 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cpInfoMapper' and 'com.ws.ldy.modules.yw.caipu.mapper.CpInfoMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.146 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjFileMapper' and 'com.ws.ldy.modules.yw.file.mapper.XjFileMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.146 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'file2Mapper' and 'com.ws.ldy.modules.yw.test.mapper.File2Mapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.146 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminAuthorityMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminAuthorityMapper' mapperInterface. Bean already defined with the same name!
